Conference,Division,Club,City
AFC,AFC East,Buffalo Bills,Lackawanna
AFC,AFC East,Miami Dolphins,Miami Gardens
AFC,AFC East,New England Patriots,Norwood
AFC,AFC East,New York Jets,Rutherford
AFC,AFC North,Baltimore Ravens,Baltimore
AFC,AFC North,Cincinnati Bengals,Cincinnati
AFC,AFC North,Cleveland Browns,Cleveland
AFC,AFC North,Pittsburgh Steelers,Pittsburgh
AFC,AFC South,Houston Texans,Houston
AFC,AFC South,Indianapolis Colts,Indianapolis
AFC,AFC South,Jacksonville Jaguars,Jacksonville
AFC,AFC South,Tennessee Titans,Nashville
AFC,AFC West,Denver Broncos,Denver
AFC,AFC West,Kansas City Chiefs,Kansas City
AFC,AFC West,Las Vegas Raiders,Paradise
AFC,AFC West,Los Angeles Chargers,Inglewood
NFC,NFC East,Dallas Cowboys,Arlington
NFC,NFC East,New York Giants,Wallington
NFC,NFC East,Philadelphia Eagles,Philadelphia
NFC,NFC East,Washington Commanders,Landover
NFC,NFC North,Chicago Bears,Chicago
NFC,NFC North,Detroit Lions,Detroit
NFC,NFC North,Green Bay Packers,Green Bay
NFC,NFC North,Minnesota Vikings,Minneapolis
NFC,NFC South,Atlanta Falcons,Atlanta
NFC,NFC South,Carolina Panthers,Charlotte
NFC,NFC South,New Orleans Saints,New Orleans
NFC,NFC South,Tampa Bay Buccaneers,Tampa
NFC,NFC West,Arizona Cardinals,Glendale
NFC,NFC West,Los Angeles Rams,Westmont
NFC,NFC West,San Francisco 49ers,Santa Clara
NFC,NFC West,Seattle Seahawks,Seattle
